DATE,IGREA
1968-01-01,-12.518398
1968-02-01,-9.1962685
1968-03-01,-11.031345
1968-04-01,-11.156129
1968-05-01,-10.421693
1968-06-01,-7.471731
1968-07-01,-12.100143
1968-08-01,-15.729061
1968-09-01,-14.959136
1968-10-01,-19.886641
1968-11-01,-8.6372571
1968-12-01,-16.318034
1969-01-01,-18.679487
1969-02-01,-17.887887
1969-03-01,-16.770285
1969-04-01,-22.612333
1969-05-01,-27.506701
1969-06-01,-18.535704
1969-07-01,-26.325125
1969-08-01,-21.73446
1969-09-01,-14.17499
1969-10-01,-6.411724
1969-11-01,-0.71768506
1969-12-01,3.9357107
1970-01-01,25.466838
1970-02-01,39.716121
1970-03-01,53.798347
1970-04-01,55.110555
1970-05-01,56.65687
1970-06-01,52.156438
1970-07-01,47.735694
1970-08-01,53.655684
1970-09-01,58.980046
1970-10-01,59.421794
1970-11-01,54.28088
1970-12-01,16.623013
1971-01-01,7.8372717
1971-02-01,-16.112597
1971-03-01,-17.863277
1971-04-01,-23.120195
1971-05-01,-29.846244
1971-06-01,-53.437186
1971-07-01,-59.654353
1971-08-01,-63.605469
1971-09-01,-50.167053
1971-10-01,-59.89154
1971-11-01,-43.654239
1971-12-01,-48.127819
1972-01-01,-60.123347
1972-02-01,-66.979548
1972-03-01,-69.553108
1972-04-01,-60.349852
1972-05-01,-64.29564
1972-06-01,-67.036223
1972-07-01,-56.843991
1972-08-01,-63.207985
1972-09-01,-8.8634686
1972-10-01,-5.9711994
1972-11-01,-4.8283754
1972-12-01,9.1723789
1973-01-01,20.647535
1973-02-01,29.391927
1973-03-01,38.507979
1973-04-01,42.908145
1973-05-01,50.184494
1973-06-01,57.642907
1973-07-01,59.10917
1973-08-01,69.628366
1973-09-01,81.056899
1973-10-01,106.9803
1973-11-01,104.0105
1973-12-01,114.01629
1974-01-01,105.54769
1974-02-01,88.607433
1974-03-01,98.193331
1974-04-01,86.218524
1974-05-01,103.97581
1974-06-01,82.306835
1974-07-01,62.004586
1974-08-01,58.639402
1974-09-01,60.388108
1974-10-01,61.542712
1974-11-01,58.95776
1974-12-01,21.794841
1975-01-01,-0.76944047
1975-02-01,-9.716853
1975-03-01,-26.51969
1975-04-01,-41.273125
1975-05-01,-43.938615
1975-06-01,-36.793583
1975-07-01,-41.77752
1975-08-01,-45.490001
1975-09-01,-34.280657
1975-10-01,-33.871748
1975-11-01,-23.974086
1975-12-01,-35.596577
1976-01-01,-45.90183
1976-02-01,-50.161282
1976-03-01,-32.432341
1976-04-01,-28.84392
1976-05-01,-19.250373
1976-06-01,-16.122422
1976-07-01,-21.432326
1976-08-01,-23.916807
1976-09-01,-24.650024
1976-10-01,-20.739481
1976-11-01,-19.310548
1976-12-01,-35.712911
1977-01-01,-49.095139
1977-02-01,-45.006484
1977-03-01,-45.344773
1977-04-01,-43.466269
1977-05-01,-35.718979
1977-06-01,-40.494919
1977-07-01,-44.29178
1977-08-01,-46.998715
1977-09-01,-47.159175
1977-10-01,-32.930282
1977-11-01,-33.411196
1977-12-01,-37.983524
1978-01-01,-38.457189
1978-02-01,-38.768179
1978-03-01,-39.234755
1978-04-01,-39.853968
1978-05-01,-22.753038
1978-06-01,-17.189548
1978-07-01,-25.793769
1978-08-01,-26.236261
1978-09-01,-13.970962
1978-10-01,-18.00892
1978-11-01,-3.9868955
1978-12-01,-6.9898135
1979-01-01,-16.268792
1979-02-01,-10.817869
1979-03-01,7.0817607
1979-04-01,9.0599455
1979-05-01,28.863447
