,SCMP China,France,Germany,UK,US
0,88.32370653,88.76413485,86.68221572,59.41170471,75.44551573
1,115.348679,68.00467423,56.29587476,57.93270045,92.08614082
2,59.41058639,62.07292339,47.05063576,95.83730536,70.45269281
3,123.2713473,93.868848,101.5680608,95.51236737,71.10443874
4,20.5798304,82.89986601,76.70815113,55.22339742,75.86949851
5,62.7238691,88.1498393,100.6619789,63.46032304,84.47804648
6,42.59028149,82.058763,69.24737505,54.95414833,76.70619866
7,27.12609109,32.73998763,118.1935605,32.10917567,58.91502576
8,70.86266971,66.51674493,64.00720281,74.38127736,54.41430432
9,83.15766128,59.29633258,72.82928944,89.02506,92.92955831
10,69.05575019,79.6098429,68.68808543,68.78263992,85.98280738
11,20.72246854,62.68272509,88.88281198,50.97836208,103.6995252
12,77.7058297,51.94140814,49.25668052,70.36617824,107.9537597
13,98.68479856,55.6411284,32.46657086,69.35782806,101.1494696
14,64.92120209,32.82840234,79.80081036,87.09315548,83.34761451
15,19.43977738,100.1266909,42.08200341,57.05706751,74.45728445
16,41.80421924,59.02740053,103.6131748,82.92330165,80.1271411
17,68.29855995,52.63696536,73.61322489,75.54866895,80.88773247
18,100.4360511,52.46161871,103.7340121,102.526763,101.4185201
19,38.22539839,26.05469786,87.88340715,56.53371922,130.4670375
20,74.3296977,95.31884349,155.4572054,120.3037197,169.0372652
21,128.118678,59.14083004,77.70742899,134.3556672,145.023234
22,51.11582728,62.61157504,127.0600582,125.8946119,113.504746
23,69.66882816,66.05536056,127.4077295,56.46775263,110.8949835
24,123.6696625,83.07643131,111.2602821,71.11097893,123.3228375
25,98.32405158,42.25163557,104.8559806,64.79441889,94.9962816
26,82.2781331,49.74752337,65.63091168,65.50212678,67.02757148
27,16.56603369,55.28368976,95.32921642,59.4479461,69.78789409
28,116.0393897,24.78511264,87.84144129,60.37749553,64.77645683
29,101.5225046,32.23488479,131.9817321,49.61610213,74.92561924
30,66.90920354,20.79172783,102.2240948,48.86079254,86.52993788
31,39.80082216,11.2873115,118.1787222,43.78325057,77.02533663
32,102.3025238,28.03570479,106.5434917,55.62634996,77.49835239
33,78.27620066,27.94557751,104.1379015,60.05670407,65.33707899
34,62.01696246,49.83722355,139.8860522,43.94887451,76.31718243
35,36.9937857,33.27027641,52.08928193,25.34095334,79.32242993
36,44.00444131,18.45133769,73.23399039,30.08247026,88.98869391
37,9.066708395,33.22514295,97.3584286,36.62590194,73.3651997
38,44.39913514,42.40265961,96.09150486,45.16381296,73.29862438
39,35.44141489,16.59283333,69.44795177,42.74243695,70.59974192
40,71.13580205,55.37305664,135.287133,53.87834089,118.1432082
41,36.85697436,35.07029337,58.29011651,51.15049901,109.5842294
42,18.60740453,40.53876511,75.23576565,30.86351071,86.65834801
43,27.14086565,23.92303093,76.06293221,29.02702081,58.90646108
44,58.0100458,40.68970434,68.36932811,57.47051216,73.55099247
45,70.60663031,52.01386541,84.14410179,47.63079387,89.91344671
